ID,Title,Difficulty,Tags,Link
1148,Article Views I,Easy,Database,https://leetcode.com/problems/article-views-i/
1149,Article Views II,Medium,Database,https://leetcode.com/problems/article-views-ii/
1150,Check If a Number Is Majority Element in a Sorted Array,Easy,"Array, Binary Search",https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array/
1151,Minimum Swaps to Group All 1's Together,Medium,"Array, Sliding Window",https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together/
1152,Analyze User Website Visit Pattern,Medium,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/analyze-user-website-visit-pattern/
1153,String Transforms Into Another String,Hard,"Hash Table, String, Graph",https://leetcode.com/problems/string-transforms-into-another-string/
1154,Day of the Year,Easy,"Math, String",https://leetcode.com/problems/day-of-the-year/
1155,Number of Dice Rolls With Target Sum,Medium,Dynamic Programming,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/
1156,Swap For Longest Repeated Character Substring,Medium,"Hash Table, String, Sliding Window",https://leetcode.com/problems/swap-for-longest-repeated-character-substring/
1157,Online Majority Element In Subarray,Hard,"Array, Binary Search, Design, Binary Indexed Tree, Segment Tree",https://leetcode.com/problems/online-majority-element-in-subarray/
1158,Market Analysis I,Medium,Database,https://leetcode.com/problems/market-analysis-i/
1159,Market Analysis II,Hard,Database,https://leetcode.com/problems/market-analysis-ii/
1160,Find Words That Can Be Formed by Characters,Easy,"Array, Hash Table, String, Counting",https://leetcode.com/problems/find-words-that-can-be-formed-by-characters/
1161,Maximum Level Sum of a Binary Tree,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree/
1162,As Far from Land as Possible,Medium,"Array, Dynamic Programming, Breadth-First Search, Matrix",https://leetcode.com/problems/as-far-from-land-as-possible/
1163,Last Substring in Lexicographical Order,Hard,"Two Pointers, String",https://leetcode.com/problems/last-substring-in-lexicographical-order/
1164,Product Price at a Given Date,Medium,Database,https://leetcode.com/problems/product-price-at-a-given-date/
1165,Single-Row Keyboard,Easy,"Hash Table, String",https://leetcode.com/problems/single-row-keyboard/
1166,Design File System,Medium,"Hash Table, String, Design, Trie",https://leetcode.com/problems/design-file-system/
1167,Minimum Cost to Connect Sticks,Medium,"Array, Greedy, Heap (Priority Queue)",https://leetcode.com/problems/minimum-cost-to-connect-sticks/
1168,Optimize Water Distribution in a Village,Hard,"Union Find, Graph, Heap (Priority Queue), Minimum Spanning Tree",https://leetcode.com/problems/optimize-water-distribution-in-a-village/
1169,Invalid Transactions,Medium,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/invalid-transactions/
1170,Compare Strings by Frequency of the Smallest Character,Medium,"Array, Hash Table, String, Binary Search, Sorting",https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character/
1171,Remove Zero Sum Consecutive Nodes from Linked List,Medium,"Hash Table, Linked List",https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list/
1172,Dinner Plate Stacks,Hard,"Hash Table, Stack, Design, Heap (Priority Queue)",https://leetcode.com/problems/dinner-plate-stacks/
1173,Immediate Food Delivery I,Easy,Database,https://leetcode.com/problems/immediate-food-delivery-i/
1174,Immediate Food Delivery II,Medium,Database,https://leetcode.com/problems/immediate-food-delivery-ii/
1175,Prime Arrangements,Easy,Math,https://leetcode.com/problems/prime-arrangements/
1176,Diet Plan Performance,Easy,"Array, Sliding Window",https://leetcode.com/problems/diet-plan-performance/
1177,Can Make Palindrome from Substring,Medium,"Array, Hash Table, String, Bit Manipulation, Prefix Sum",https://leetcode.com/problems/can-make-palindrome-from-substring/
1178,Number of Valid Words for Each Puzzle,Hard,"Array, Hash Table, String, Bit Manipulation, Trie",https://leetcode.com/problems/number-of-valid-words-for-each-puzzle/
1179,Reformat Department Table,Easy,Database,https://leetcode.com/problems/reformat-department-table/
1180,Count Substrings with Only One Distinct Letter,Easy,"Math, String",https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter/
1181,Before and After Puzzle,Medium,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/before-and-after-puzzle/
1182,Shortest Distance to Target Color,Medium,"Array, Binary Search, Dynamic Programming",https://leetcode.com/problems/shortest-distance-to-target-color/
1183,Maximum Number of Ones,Hard,"Math, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/maximum-number-of-ones/
1184,Distance Between Bus Stops,Easy,Array,https://leetcode.com/problems/distance-between-bus-stops/
1185,Day of the Week,Easy,Math,https://leetcode.com/problems/day-of-the-week/
1186,Maximum Subarray Sum with One Deletion,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion/
1187,Make Array Strictly Increasing,Hard,"Array, Binary Search, Dynamic Programming, Sorting",https://leetcode.com/problems/make-array-strictly-increasing/
1188,Design Bounded Blocking Queue,Medium,Concurrency,https://leetcode.com/problems/design-bounded-blocking-queue/
1189,Maximum Number of Balloons,Easy,"Hash Table, String, Counting",https://leetcode.com/problems/maximum-number-of-balloons/
1190,Reverse Substrings Between Each Pair of Parentheses,Medium,"String, Stack",https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses/
1191,K-Concatenation Maximum Sum,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/k-concatenation-maximum-sum/
1192,Critical Connections in a Network,Hard,"Depth-First Search, Graph, Biconnected Component",https://leetcode.com/problems/critical-connections-in-a-network/
1193,Monthly Transactions I,Medium,Database,https://leetcode.com/problems/monthly-transactions-i/
1194,Tournament Winners,Hard,Database,https://leetcode.com/problems/tournament-winners/
1195,Fizz Buzz Multithreaded,Medium,Concurrency,https://leetcode.com/problems/fizz-buzz-multithreaded/
1196,How Many Apples Can You Put into the Basket,Easy,"Array, Greedy, Sorting",https://leetcode.com/problems/how-many-apples-can-you-put-into-the-basket/
1197,Minimum Knight Moves,Medium,Breadth-First Search,https://leetcode.com/problems/minimum-knight-moves/
1198,Find Smallest Common Element in All Rows,Medium,"Array, Hash Table, Binary Search, Matrix, Counting",https://leetcode.com/problems/find-smallest-common-element-in-all-rows/
1199,Minimum Time to Build Blocks,Hard,"Array, Math, Greedy, Heap (Priority Queue)",https://leetcode.com/problems/minimum-time-to-build-blocks/
1200,Minimum Absolute Difference,Easy,"Array, Sorting",https://leetcode.com/problems/minimum-absolute-difference/
1201,Ugly Number III,Medium,"Math, Binary Search, Combinatorics, Number Theory",https://leetcode.com/problems/ugly-number-iii/
1202,Smallest String With Swaps,Medium,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting",https://leetcode.com/problems/smallest-string-with-swaps/
1203,Sort Items by Groups Respecting Dependencies,Hard,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies/
1204,Last Person to Fit in the Bus,Medium,Database,https://leetcode.com/problems/last-person-to-fit-in-the-bus/
1205,Monthly Transactions II,Medium,Database,https://leetcode.com/problems/monthly-transactions-ii/
1206,Design Skiplist,Hard,"Linked List, Design",https://leetcode.com/problems/design-skiplist/
1207,Unique Number of Occurrences,Easy,"Array, Hash Table",https://leetcode.com/problems/unique-number-of-occurrences/
1208,Get Equal Substrings Within Budget,Medium,"String, Binary Search, Sliding Window, Prefix Sum",https://leetcode.com/problems/get-equal-substrings-within-budget/
1209,Remove All Adjacent Duplicates in String II,Medium,"String, Stack",https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/
1210,Minimum Moves to Reach Target with Rotations,Hard,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/minimum-moves-to-reach-target-with-rotations/
1211,Queries Quality and Percentage,Easy,Database,https://leetcode.com/problems/queries-quality-and-percentage/
1212,Team Scores in Football Tournament,Medium,Database,https://leetcode.com/problems/team-scores-in-football-tournament/
1213,Intersection of Three Sorted Arrays,Easy,"Array, Hash Table, Binary Search, Counting",https://leetcode.com/problems/intersection-of-three-sorted-arrays/
1214,Two Sum BSTs,Medium,"Two Pointers, Binary Search, Stack, Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/two-sum-bsts/
1215,Stepping Numbers,Medium,"Math, Backtracking, Breadth-First Search",https://leetcode.com/problems/stepping-numbers/
1216,Valid Palindrome III,Hard,"String, Dynamic Programming",https://leetcode.com/problems/valid-palindrome-iii/
1217,Minimum Cost to Move Chips to The Same Position,Easy,"Array, Math, Greedy",https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position/
1218,Longest Arithmetic Subsequence of Given Difference,Medium,"Array, Hash Table, Dynamic Programming",https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference/
1219,Path with Maximum Gold,Medium,"Array, Backtracking, Matrix",https://leetcode.com/problems/path-with-maximum-gold/
1220,Count Vowels Permutation,Hard,Dynamic Programming,https://leetcode.com/problems/count-vowels-permutation/
1221,Split a String in Balanced Strings,Easy,"String, Greedy, Counting",https://leetcode.com/problems/split-a-string-in-balanced-strings/
1222,Queens That Can Attack the King,Medium,"Array, Matrix, Simulation",https://leetcode.com/problems/queens-that-can-attack-the-king/
1223,Dice Roll Simulation,Hard,"Array, Dynamic Programming",https://leetcode.com/problems/dice-roll-simulation/
1224,Maximum Equal Frequency,Hard,"Array, Hash Table",https://leetcode.com/problems/maximum-equal-frequency/
1225,Report Contiguous Dates,Hard,Database,https://leetcode.com/problems/report-contiguous-dates/
1226,The Dining Philosophers,Medium,Concurrency,https://leetcode.com/problems/the-dining-philosophers/
1227,Airplane Seat Assignment Probability,Medium,"Math, Dynamic Programming, Brainteaser, Probability and Statistics",https://leetcode.com/problems/airplane-seat-assignment-probability/
1228,Missing Number In Arithmetic Progression,Easy,"Array, Math",https://leetcode.com/problems/missing-number-in-arithmetic-progression/
1229,Meeting Scheduler,Medium,"Array, Two Pointers, Sorting",https://leetcode.com/problems/meeting-scheduler/
1230,Toss Strange Coins,Medium,"Array, Math, Dynamic Programming, Probability and Statistics",https://leetcode.com/problems/toss-strange-coins/
1231,Divide Chocolate,Hard,"Array, Binary Search",https://leetcode.com/problems/divide-chocolate/
1232,Check If It Is a Straight Line,Easy,"Array, Math, Geometry",https://leetcode.com/problems/check-if-it-is-a-straight-line/
1233,Remove Sub-Folders from the Filesystem,Medium,"Array, String, Depth-First Search, Trie",https://leetcode.com/problems/remove-sub-folders-from-the-filesystem/
1234,Replace the Substring for Balanced String,Medium,"String, Sliding Window",https://leetcode.com/problems/replace-the-substring-for-balanced-string/
1235,Maximum Profit in Job Scheduling,Hard,"Array, Binary Search, Dynamic Programming, Sorting",https://leetcode.com/problems/maximum-profit-in-job-scheduling/
1236,Web Crawler,Medium,"String, Depth-First Search, Breadth-First Search, Interactive",https://leetcode.com/problems/web-crawler/
1237,Find Positive Integer Solution for a Given Equation,Medium,"Math, Two Pointers, Binary Search, Interactive",https://leetcode.com/problems/find-positive-integer-solution-for-a-given-equation/
1238,Circular Permutation in Binary Representation,Medium,"Math, Backtracking, Bit Manipulation",https://leetcode.com/problems/circular-permutation-in-binary-representation/
1239,Maximum Length of a Concatenated String with Unique Characters,Medium,"Array, String, Backtracking, Bit Manipulation",https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/
1240,Tiling a Rectangle with the Fewest Squares,Hard,Backtracking,https://leetcode.com/problems/tiling-a-rectangle-with-the-fewest-squares/
1241,Number of Comments per Post,Easy,Database,https://leetcode.com/problems/number-of-comments-per-post/
1242,Web Crawler Multithreaded,Medium,"Depth-First Search, Breadth-First Search, Concurrency",https://leetcode.com/problems/web-crawler-multithreaded/
1243,Array Transformation,Easy,"Array, Simulation",https://leetcode.com/problems/array-transformation/
1244,Design A Leaderboard,Medium,"Hash Table, Design, Sorting",https://leetcode.com/problems/design-a-leaderboard/
1245,Tree Diameter,Medium,"Tree, Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/tree-diameter/
1246,Palindrome Removal,Hard,"Array, Dynamic Programming",https://leetcode.com/problems/palindrome-removal/
1247,Minimum Swaps to Make Strings Equal,Medium,"Math, String, Greedy",https://leetcode.com/problems/minimum-swaps-to-make-strings-equal/
1248,Count Number of Nice Subarrays,Medium,"Array, Hash Table, Math, Sliding Window, Prefix Sum",https://leetcode.com/problems/count-number-of-nice-subarrays/
1249,Minimum Remove to Make Valid Parentheses,Medium,"String, Stack",https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/
1250,Check If It Is a Good Array,Hard,"Array, Math, Number Theory",https://leetcode.com/problems/check-if-it-is-a-good-array/
1251,Average Selling Price,Easy,Database,https://leetcode.com/problems/average-selling-price/
1252,Cells with Odd Values in a Matrix,Easy,"Array, Math, Simulation",https://leetcode.com/problems/cells-with-odd-values-in-a-matrix/
1253,Reconstruct a 2-Row Binary Matrix,Medium,"Array, Greedy, Matrix",https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix/
1254,Number of Closed Islands,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-closed-islands/
1255,Maximum Score Words Formed by Letters,Hard,"Array, String, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",https://leetcode.com/problems/maximum-score-words-formed-by-letters/
1256,Encode Number,Medium,"Math, String, Bit Manipulation",https://leetcode.com/problems/encode-number/
1257,Smallest Common Region,Medium,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search",https://leetcode.com/problems/smallest-common-region/
1258,Synonymous Sentences,Medium,"Array, Hash Table, String, Backtracking, Sort, Union Find",https://leetcode.com/problems/synonymous-sentences/
1259,Handshakes That Don't Cross,Hard,"Math, Dynamic Programming",https://leetcode.com/problems/handshakes-that-dont-cross/
1260,Shift 2D Grid,Easy,"Array, Matrix, Simulation",https://leetcode.com/problems/shift-2d-grid/
1261,Find Elements in a Contaminated Binary Tree,Medium,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",https://leetcode.com/problems/find-elements-in-a-contaminated-binary-tree/
1262,Greatest Sum Divisible by Three,Medium,"Array, Dynamic Programming, Greedy, Sorting",https://leetcode.com/problems/greatest-sum-divisible-by-three/
1263,Minimum Moves to Move a Box to Their Target Location,Hard,"Array, Breadth-First Search, Heap (Priority Queue), Matrix",https://leetcode.com/problems/minimum-moves-to-move-a-box-to-their-target-location/
1264,Page Recommendations,Medium,Database,https://leetcode.com/problems/page-recommendations/
1265,Print Immutable Linked List in Reverse,Medium,"Linked List, Two Pointers, Stack, Recursion",https://leetcode.com/problems/print-immutable-linked-list-in-reverse/
1266,Minimum Time Visiting All Points,Easy,"Array, Math, Geometry",https://leetcode.com/problems/minimum-time-visiting-all-points/
1267,Count Servers that Communicate,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix, Counting",https://leetcode.com/problems/count-servers-that-communicate/
1268,Search Suggestions System,Medium,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/search-suggestions-system/
1269,Number of Ways to Stay in the Same Place After Some Steps,Hard,Dynamic Programming,https://leetcode.com/problems/number-of-ways-to-stay-in-the-same-place-after-some-steps/
1270,All People Report to the Given Manager,Medium,Database,https://leetcode.com/problems/all-people-report-to-the-given-manager/
1271,Hexspeak,Easy,"Math, String",https://leetcode.com/problems/hexspeak/
1272,Remove Interval,Medium,Array,https://leetcode.com/problems/remove-interval/
1273,Delete Tree Nodes,Medium,"Array, Tree, Depth-First Search, Breadth-First Search",https://leetcode.com/problems/delete-tree-nodes/
1274,Number of Ships in a Rectangle,Hard,"Array, Divide and Conquer, Interactive",https://leetcode.com/problems/number-of-ships-in-a-rectangle/
1275,Find Winner on a Tic Tac Toe Game,Easy,"Array, Hash Table, Matrix, Simulation",https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game/
1276,Number of Burgers with No Waste of Ingredients,Medium,Math,https://leetcode.com/problems/number-of-burgers-with-no-waste-of-ingredients/
1277,Count Square Submatrices with All Ones,Medium,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/count-square-submatrices-with-all-ones/
1278,Palindrome Partitioning III,Hard,"String, Dynamic Programming",https://leetcode.com/problems/palindrome-partitioning-iii/
1279,Traffic Light Controlled Intersection,Easy,Concurrency,https://leetcode.com/problems/traffic-light-controlled-intersection/
1280,Students and Examinations,Easy,Database,https://leetcode.com/problems/students-and-examinations/
1281,Subtract the Product and Sum of Digits of an Integer,Easy,Math,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer/
1282,Group the People Given the Group Size They Belong To,Medium,"Array, Hash Table, Greedy",https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to/
1283,Find the Smallest Divisor Given a Threshold,Medium,"Array, Binary Search",https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,Hard,"Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix",https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix/
1285,Find the Start and End Number of Continuous Ranges,Medium,Database,https://leetcode.com/problems/find-the-start-and-end-number-of-continuous-ranges/
1286,Iterator for Combination,Medium,"String, Backtracking, Design, Iterator",https://leetcode.com/problems/iterator-for-combination/
1287,Element Appearing More Than 25% In Sorted Array,Easy,Array,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array/
1288,Remove Covered Intervals,Medium,"Array, Sorting",https://leetcode.com/problems/remove-covered-intervals/
1289,Minimum Falling Path Sum II,Hard,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/minimum-falling-path-sum-ii/
1290,Convert Binary Number in a Linked List to Integer,Easy,"Linked List, Math",https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/
1291,Sequential Digits,Medium,Enumeration,https://leetcode.com/problems/sequential-digits/
1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,Medium,"Array, Binary Search, Matrix, Prefix Sum",https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold/
1293,Shortest Path in a Grid with Obstacles Elimination,Hard,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/
1294,Weather Type in Each Country,Easy,Database,https://leetcode.com/problems/weather-type-in-each-country/
1295,Find Numbers with Even Number of Digits,Easy,"Array, Math",https://leetcode.com/problems/find-numbers-with-even-number-of-digits/
1296,Divide Array in Sets of K Consecutive Numbers,Medium,"Array, Hash Table, Greedy, Sorting",https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers/
1297,Maximum Number of Occurrences of a Substring,Medium,"Hash Table, String, Sliding Window",https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring/
1298,Maximum Candies You Can Get from Boxes,Hard,"Array, Breadth-First Search, Graph",https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes/
1299,Replace Elements with Greatest Element on Right Side,Easy,Array,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side/
1300,Sum of Mutated Array Closest to Target,Medium,"Array, Binary Search, Sorting",https://leetcode.com/problems/sum-of-mutated-array-closest-to-target/
1301,Number of Paths with Max Score,Hard,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/number-of-paths-with-max-score/
1302,Deepest Leaves Sum,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/deepest-leaves-sum/
1303,Find the Team Size,Easy,Database,https://leetcode.com/problems/find-the-team-size/
1304,Find N Unique Integers Sum up to Zero,Easy,"Array, Math",https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero/
1305,All Elements in Two Binary Search Trees,Medium,"Tree, Depth-First Search, Binary Search Tree, Sorting, Binary Tree",https://leetcode.com/problems/all-elements-in-two-binary-search-trees/
1306,Jump Game III,Medium,"Array, Depth-First Search, Breadth-First Search",https://leetcode.com/problems/jump-game-iii/
1307,Verbal Arithmetic Puzzle,Hard,"Array, Math, String, Backtracking",https://leetcode.com/problems/verbal-arithmetic-puzzle/
1308,Running Total for Different Genders,Medium,Database,https://leetcode.com/problems/running-total-for-different-genders/
1309,Decrypt String from Alphabet to Integer Mapping,Easy,String,https://leetcode.com/problems/decrypt-string-from-alphabet-to-integer-mapping/
1310,XOR Queries of a Subarray,Medium,"Array, Bit Manipulation, Prefix Sum",https://leetcode.com/problems/xor-queries-of-a-subarray/
1311,Get Watched Videos by Your Friends,Medium,"Array, Hash Table, Breadth-First Search, Graph, Sorting",https://leetcode.com/problems/get-watched-videos-by-your-friends/
1312,Minimum Insertion Steps to Make a String Palindrome,Hard,"String, Dynamic Programming",https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/
1313,Decompress Run-Length Encoded List,Easy,Array,https://leetcode.com/problems/decompress-run-length-encoded-list/
1314,Matrix Block Sum,Medium,"Array, Matrix, Prefix Sum",https://leetcode.com/problems/matrix-block-sum/
1315,Sum of Nodes with Even-Valued Grandparent,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/sum-of-nodes-with-even-valued-grandparent/
1316,Distinct Echo Substrings,Hard,"String, Trie, Rolling Hash, Hash Function",https://leetcode.com/problems/distinct-echo-substrings/
1317,Convert Integer to the Sum of Two No-Zero Integers,Easy,Math,https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers/
1318,Minimum Flips to Make a OR b Equal to c,Medium,Bit Manipulation,https://leetcode.com/problems/minimum-flips-to-make-a-or-b-equal-to-c/
1319,Number of Operations to Make Network Connected,Medium,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/number-of-operations-to-make-network-connected/
1320,Minimum Distance to Type a Word Using Two Fingers,Hard,"String, Dynamic Programming",https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers/
1321,Restaurant Growth,Medium,Database,https://leetcode.com/problems/restaurant-growth/
1322,Ads Performance,Easy,Database,https://leetcode.com/problems/ads-performance/
1323,Maximum 69 Number,Easy,"Math, Greedy",https://leetcode.com/problems/maximum-69-number/
1324,Print Words Vertically,Medium,"Array, String, Simulation",https://leetcode.com/problems/print-words-vertically/
1325,Delete Leaves With a Given Value,Medium,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/delete-leaves-with-a-given-value/
1326,Minimum Number of Taps to Open to Water a Garden,Hard,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/
1327,List the Products Ordered in a Period,Easy,Database,https://leetcode.com/problems/list-the-products-ordered-in-a-period/
1328,Break a Palindrome,Medium,"String, Greedy",https://leetcode.com/problems/break-a-palindrome/
1329,Sort the Matrix Diagonally,Medium,"Array, Sorting, Matrix",https://leetcode.com/problems/sort-the-matrix-diagonally/
1330,Reverse Subarray To Maximize Array Value,Hard,"Array, Math, Greedy",https://leetcode.com/problems/reverse-subarray-to-maximize-array-value/
1331,Rank Transform of an Array,Easy,"Array, Hash Table, Sorting",https://leetcode.com/problems/rank-transform-of-an-array/
1332,Remove Palindromic Subsequences,Easy,"Two Pointers, String",https://leetcode.com/problems/remove-palindromic-subsequences/
1333,"Filter Restaurants by Vegan-Friendly, Price and Distance",Medium,"Array, Sorting",https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance/
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,Medium,"Dynamic Programming, Graph, Shortest Path",https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/
1335,Minimum Difficulty of a Job Schedule,Hard,"Array, Dynamic Programming",https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule/
1336,Number of Transactions per Visit,Hard,Database,https://leetcode.com/problems/number-of-transactions-per-visit/
1337,The K Weakest Rows in a Matrix,Easy,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix",https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/
1338,Reduce Array Size to The Half,Medium,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/reduce-array-size-to-the-half/
1339,Maximum Product of Splitted Binary Tree,Medium,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/maximum-product-of-splitted-binary-tree/
1340,Jump Game V,Hard,"Array, Dynamic Programming, Sorting",https://leetcode.com/problems/jump-game-v/
1341,Movie Rating,Medium,Database,https://leetcode.com/problems/movie-rating/
1342,Number of Steps to Reduce a Number to Zero,Easy,"Math, Bit Manipulation",https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero/
1343,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,Medium,"Array, Sliding Window",https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold/
1344,Angle Between Hands of a Clock,Medium,Math,https://leetcode.com/problems/angle-between-hands-of-a-clock/
1345,Jump Game IV,Hard,"Array, Hash Table, Breadth-First Search",https://leetcode.com/problems/jump-game-iv/
1346,Check If N and Its Double Exist,Easy,"Array, Hash Table, Two Pointers, Binary Search, Sorting",https://leetcode.com/problems/check-if-n-and-its-double-exist/
1347,Minimum Number of Steps to Make Two Strings Anagram,Medium,"Hash Table, String, Counting",https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/
1348,Tweet Counts Per Frequency,Medium,"Hash Table, Binary Search, Design, Sorting, Ordered Set",https://leetcode.com/problems/tweet-counts-per-frequency/
1349,Maximum Students Taking Exam,Hard,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask",https://leetcode.com/problems/maximum-students-taking-exam/
1350,Students With Invalid Departments,Easy,Database,https://leetcode.com/problems/students-with-invalid-departments/
1351,Count Negative Numbers in a Sorted Matrix,Easy,"Array, Binary Search, Matrix",https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix/
1352,Product of the Last K Numbers,Medium,"Array, Math, Design, Data Stream, Prefix Sum",https://leetcode.com/problems/product-of-the-last-k-numbers/
1353,Maximum Number of Events That Can Be Attended,Medium,"Array, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/
1354,Construct Target Array With Multiple Sums,Hard,"Array, Heap (Priority Queue)",https://leetcode.com/problems/construct-target-array-with-multiple-sums/
1355,Activity Participants,Medium,Database,https://leetcode.com/problems/activity-participants/
1356,Sort Integers by The Number of 1 Bits,Easy,"Array, Bit Manipulation, Sorting, Counting",https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits/
1357,Apply Discount Every n Orders,Medium,"Array, Hash Table, Design",https://leetcode.com/problems/apply-discount-every-n-orders/
1358,Number of Substrings Containing All Three Characters,Medium,"Hash Table, String, Sliding Window",https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/
1359,Count All Valid Pickup and Delivery Options,Hard,"Math, Dynamic Programming, Combinatorics",https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options/
1360,Number of Days Between Two Dates,Easy,"Math, String",https://leetcode.com/problems/number-of-days-between-two-dates/
1361,Validate Binary Tree Nodes,Medium,"Tree, Depth-First Search, Breadth-First Search, Union Find, Graph, Binary Tree",https://leetcode.com/problems/validate-binary-tree-nodes/
1362,Closest Divisors,Medium,Math,https://leetcode.com/problems/closest-divisors/
1363,Largest Multiple of Three,Hard,"Array, Math, Dynamic Programming, Greedy, Sorting",https://leetcode.com/problems/largest-multiple-of-three/
1364,Number of Trusted Contacts of a Customer,Medium,Database,https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer/
1365,How Many Numbers Are Smaller Than the Current Number,Easy,"Array, Hash Table, Sorting, Counting Sort",https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number/
1366,Rank Teams by Votes,Medium,"Array, Hash Table, String, Sorting, Counting",https://leetcode.com/problems/rank-teams-by-votes/
